Tiempo desde erupcion (d);Magnitud;;;;;;;;;;;;
4273,2;8,0;;;;;;;;;;;;
4273,6;7,5;;;;;;;;;;;;
4274,6;7,6;;;;;;;;;;;;
4275,6;7,4;;;;;;;;;;;;
4276,5;7,6;;;;;;;;;;;;
4276,5;7,6;;;;;;;;;;;;
4276,6;7,5;;;;;;;;;;;;
4277,5;8,0;;;;;;;;;;;;
4277,6;7,4;;;;;;;;;;;;
4281,5;7,7;;;;;;;;;;;;
4283,6;7,3;;;;;;;;;;;;
4285,6;7,5;;;;;;;;;;;;
4286,6;7,7;;;;;;;;;;;;
4293,6;7,5;;;;;;;;;;;;
4295,6;7,4;;;;;;;;;;;;
4297,6;7,4;;;;;;;;;;;;
4305,2;7,8;;;;;;;;;;;;
4307,5;7,5;;;;;;;;;;;;
4312,5;7,7;;;;;;;;;;;;
4349,9;7,9;;;;;;;;;;;;
4351,7;8,0;;;;;;;;;;;;
4353,9;7,9;;;;;;;;;;;;
4372,5;8,1;;;;;;;;;;;;
4378,7;8,2;;;;;;;;;;;;
4383,69;8,4;;;;;;;;;;;;
4397,8;8,1;;;;;;;;;;;;
4401,6;8,2;;;;;;;;;;;;
4404,6;8,3;;;;;;;;;;;;
4404,8;8,5;;;;;;;;;;;;
4406,6;8,2;;;;;;;;;;;;
4407,4;8,1;;;;;;;;;;;;
4410,7;8,1;;;;;;;;;;;;
4411,8;8,5;;;;;;;;;;;;
4411,9;7,9;;;;;;;;;;;;
4428,8;8,3;;;;;;;;;;;;
4429,6;8,3;;;;;;;;;;;;
4432,3;8,1;;;;;;;;;;;;
4433,8;8,3;;;;;;;;;;;;
4436,8;8,3;;;;;;;;;;;;
4436,8;8,4;;;;;;;;;;;;
4437,8;8,3;;;;;;;;;;;;
4439,8;8,7;;;;;;;;;;;;
4444,6;8,5;;;;;;;;;;;;
4453,7;8,4;;;;;;;;;;;;
4457,5;8,4;;;;;;;;;;;;
4459,7;8,7;;;;;;;;;;;;
4460,2;8,3;;;;;;;;;;;;
4466,8;8,3;;;;;;;;;;;;
4466,8;8,9;;;;;;;;;;;;
4467,6;8,4;;;;;;;;;;;;
4470,8;8,7;;;;;;;;;;;;
4471,6;8,6;;;;;;;;;;;;
4471,6;8,5;;;;;;;;;;;;
4474,8;8,6;;;;;;;;;;;;
4481,6;8,6;;;;;;;;;;;;
4482,4;8,5;;;;;;;;;;;;
4482,7;8,6;;;;;;;;;;;;
4483,4;8,2;;;;;;;;;;;;
4484,4;8,3;;;;;;;;;;;;
4484,6;8,7;;;;;;;;;;;;
4485,2;8,6;;;;;;;;;;;;
4486,6;8,6;;;;;;;;;;;;
4487,4;8,4;;;;;;;;;;;;
4487,7;8,7;;;;;;;;;;;;
4487,8;8,5;;;;;;;;;;;;
4488,7;8,6;;;;;;;;;;;;
4490,6;7,9;;;;;;;;;;;;
4491,8;8,5;;;;;;;;;;;;
4493,6;8,6;;;;;;;;;;;;
4494,6;8,5;;;;;;;;;;;;
4496,4;8,4;;;;;;;;;;;;
4497,7;8,4;;;;;;;;;;;;
4499,6;8,3;;;;;;;;;;;;
4499,8;8,7;;;;;;;;;;;;
4500,4;8,4;;;;;;;;;;;;
4500,6;8,2;;;;;;;;;;;;
4500,6;8,2;;;;;;;;;;;;
4500,8;8,7;;;;;;;;;;;;
4501,4;8,4;;;;;;;;;;;;
4501,8;8,4;;;;;;;;;;;;
4513,2;8,4;;;;;;;;;;;;
4514,6;8,8;;;;;;;;;;;;
4515,5;9,3;;;;;;;;;;;;
4515,6;8,6;;;;;;;;;;;;
4515,8;8,4;;;;;;;;;;;;
4516,4;8,7;;;;;;;;;;;;
4516,6;8,5;;;;;;;;;;;;
4516,6;8,4;;;;;;;;;;;;
