Tiempo desde erupcion (d);Magnitud
2,590505;8,054
2,590921;8,048
2,591326;8,02
2,59172;8,018
2,592125;8,07
2,59253;8,027
2,592947;8,009
2,59334;8,025
2,593757;8,025
2,594162;8,081
2,594579;8,001
2,594984;8,016
2,595389;8,01
2,595782;8,078
2,606679;8,072
2,607084;8,061
2,607501;8,111
2,608925;8,087
2,609399;8,077
2,609862;8,053
2,610337;8,071
2,610811;8,087
2,611286;8,108
2,611749;8,092
2,612212;8,068
2,612686;8,059
2,613149;8,123
2,613612;8,092
2,614075;8,117
2,61455;8,131
2,615013;8,097
2,615487;8,072
2,615973;8,061
2,616436;8,128
2,616911;8,11
2,617397;8,16
2,617871;8,107
2,618334;8,039
2,618809;8,133
2,619272;8,091
2,619746;8,064
2,620209;8,048
2,620684;8,087
2,621147;8,09
2,62161;8,103
2,622073;8,108
2,622559;8,102
2,623034;8,07
2,623496;8,11
2,623971;8,118
2,624434;8,112
2,624897;8,082
2,62536;8,092
2,625823;8,019
2,626274;8,074
2,626737;8,062
2,627189;8,099
2,62764;8,043
2,628115;8,118
2,628589;8,088
2,629064;8,099
2,629527;8,112
2,630001;8,106
2,630464;8,118
2,630927;8,112
2,63139;8,091
2,631841;8,095
2,632293;8,102
2,632744;8,116
2,633207;8,108
2,63367;8,12
2,634156;8,093
2,634619;8,081
2,635071;8,108
2,635534;8,109
2,636008;8,116
2,636471;8,103
2,636946;8,102
2,637397;8,12
2,63786;8,103
2,638346;8,111
2,638809;8,112
2,63926;8,122
2,639723;8,096
2,640198;8,095
2,640672;8,14
2,641135;8,131
2,64161;8,11
2,642061;8,146
2,642536;8,097
2,642999;8,135
2,643462;8,131
2,643936;8,107
2,644411;8,114
2,644874;8,132
2,645325;8,135
2,6458;8,094
2,646263;8,151
2,646714;8,141
2,647177;8,106
2,647663;8,126
2,648126;8,107
2,648589;8,123
2,649064;8,117
2,649527;8,121
2,64999;8,072
2,650464;8,123
2,650927;8,125
2,65139;8,156
2,651853;8,093
2,652304;8,118
2,652779;8,13
2,653253;8,127
2,653716;8,127
2,654191;8,117
2,654665;8,127
2,65514;8,137
2,655603;8,142
2,656066;8,143
2,656529;8,132
2,657003;8,153
2,657466;8,148
2,657918;8,115
2,658392;8,106
2,658844;8,136
2,659318;8,151
2,659781;8,131
2,660256;8,15
2,660719;8,143
2,66117;8,161
2,661645;8,142
2,662108;8,147
2,662582;8,153
2,663034;8,155
2,663508;8,149
2,663959;8,125
2,664434;8,161
2,664885;8,142
2,66536;8,176
2,665811;8,133
2,666286;8,127
2,666749;8,139
2,667223;8,153
2,667675;8,131
2,668149;8,15
2,668601;8,086
2,669075;8,193
2,66955;8,127
2,670013;8,176
2,670487;8,169
2,67095;8,104
2,671425;8,145
2,671876;8,124
2,672351;8,155
2,672802;8,152
2,673277;8,135
2,673763;8,166
2,674249;8,16
2,674723;8,147
2,675186;8,194
2,675661;8,147
2,676112;8,101
2,676587;8,134
2,67682;8,173
2,677061;8,104
2,677513;8,173
2,677987;8,14
2,678462;8,136
2,678925;8,132
2,679399;8,091
2,679862;8,148
2,680325;8,15
2,680788;8,145
2,681251;8,184
2,681737;8,145
2,682212;8,15
2,682675;8,149
2,683149;8,158
2,683624;8,186
2,684075;8,168
2,68455;8,155
2,685024;8,131
2,685499;8,148
2,685962;8,131
2,686436;8,17
2,686911;8,134
2,687374;8,154
2,924654;8,158
2,925244;8,151
2,925834;8,132
2,926413;8,141
2,927003;8,149
2,927594;8,159
2,928184;8,156
2,928751;8,155
2,929353;8,163
2,929897;8,148
2,930441;8,16
2,930985;8,15
2,931552;8,164
2,932142;8,159
2,932721;8,16
2,933311;8,153
2,93389;8,171
2,934457;8,168
2,935047;8,163
2,935603;8,167
2,974278;8,337
2,974883;8,318
2,975566;8,307
3,09023;8,206
3,205846;8,336
3,207015;8,323
3,208184;8,446
3,209353;8,388
3,210522;8,27
3,211691;8,308
3,212848;8,341
3,214029;8,314
3,215198;8,349
3,216367;8,295
3,217524;8,394
3,218693;8,369
3,221031;8,314
3,222212;8,364
3,223369;8,356
3,22455;8,307
3,225707;8,358
3,226876;8,395
3,228045;8,337
3,229214;8,349
3,230383;8,356
3,231552;8,391
3,232721;8,363
3,233878;8,374
3,235047;8,38
3,236216;8,395
3,237374;8,367
3,238543;8,375
3,239723;8,351
3,59367;8,272
3,594145;8,271
3,594619;8,265
3,595082;8,266
3,595545;8,275
3,59602;8,279
3,596506;8,268
3,596957;8,26
3,597432;8,268
3,597906;8,26
3,598381;8,266
3,598832;8,257
3,599307;8,307
3,599781;8,279
3,600256;8,283
3,60073;8,278
3,601193;8,282
3,601656;8,286
3,602131;8,28
3,602605;8,274
3,60308;8,272
3,603566;8,274
3,604029;8,273
3,60448;8,284
3,604955;8,282
3,605429;8,293
3,605904;8,286
3,606378;8,308
3,606841;8,3
3,607304;8,298
3,607779;8,296
3,608265;8,3
3,608728;8,301
3,609203;8,289
3,609677;8,304
3,610152;8,297
3,610626;8,265
3,611101;8,292
3,611575;8,312
3,612038;8,298
3,612501;8,311
3,612987;8,303
3,613473;8,31
3,613971;8,336
3,61416;7,875
3,614446;8,327
3,614932;8,319
3,615406;8,334
3,615881;8,316
3,616378;8,321
3,616853;8,316
3,617328;8,311
3,617825;8,322
3,6183;8,315
3,618774;8,332
